artist_id,artist_name,artist_followers,artist_genres,artist_popularity
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,3332403,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",71
6289Bbkkk3gaCbh1K7Rv8F,Izi,915074,"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",57
4qWnlmXWuGv2TtuxtIWlJX,BANNERS,603343,['indie poptimism'],63
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,8511351,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",78
4PLGCdwxxGsxNXX7G7Spug,STEFAN,8702,['estonian pop'],34
3weLeY2Bu0Eij4k0tQ4EzJ,Alec Chambers,69098,[],40
60rpJ9SgigSd16DOAG7GSa,Billy Ray Cyrus,235805,['country rock'],61
4Umo1uO9VemTgnkjeUhx8c,Enrico Nigiotti,209569,['italian adult pop'],38
1R2iRWvuwwokMKGHirNGTD,Serhat Durmus,354151,"['arab trap', 'turkish trap']",56
0QJ3p787u7KD0ZhD5vzrCA,Anastasio,112454,"['italian hip hop', 'italian pop']",35
0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,1522214,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",64
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,28998634,"['hip pop', 'pop', 'queens hip hop', 'rap']",86
75fIuwXxhZ1atNzWLMrgF0,Tyler Bates,72595,"['orchestral soundtrack', 'soundtrack']",53
4exLIFE8sISLr28sqG1qNX,Travis Barker,427674,['rap rock'],68
2BBgFkNBBMln3m2G2Bm2bt,NSTASIA,19222,[],46
01LfDhfF9mkpmEwRalZCmO,Ryan Star,43848,[],36
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,3199774,"['r&b', 'uk contemporary r&b']",72
3LvwPiJQJ0da0GurKMToV0,Baby Gang,981765,['trap italiana'],71
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,3757079,"['edm', 'pop dance', 'progressive electro house']",74
5SfqIMwBJ7wD419vvb33mO,KOPPY,228,[],40
2NjfBq1NflQcKSeiDooVjY,Tones And I,3017072,['australian pop'],68
